date,cv_role,r_1,r_2,r_3,r_4,r_5,r_6,r_7,r_8,r_9,r_10,r_target,target_level
2017-09-14,always train (rows 1-551),-0.858176,-1.084757,-1.067281,-0.585025,-0.739294,-1.207727,-0.195613,0.401136,1.306146,-0.197484,-0.110072,2495.620117
2017-09-15,always train (rows 1-551),1.010923,-0.514815,-0.521020,0.722175,-0.546255,0.397740,0.739201,-0.024973,0.201243,0.714563,0.184718,2500.229980
2017-09-18,always train (rows 1-551),-0.756845,-0.592343,-0.574823,-0.199180,-1.276870,-0.949655,0.878316,0.024979,0.691727,1.418901,0.145592,2503.870117
2017-09-19,always train (rows 1-551),0.037873,0.764724,0.744275,0.372554,-0.444470,1.476389,0.848621,0.162329,-0.118182,1.097708,0.111020,2506.649902
2017-09-20,always train (rows 1-551),1.139991,1.059856,-1.675842,-0.662758,0.345410,-0.202876,0.442606,0.411366,-1.479070,0.702603,0.063435,2508.239990
2017-09-21,always train (rows 1-551),0.001065,0.093388,-1.717166,-0.974147,-0.879566,-0.615685,-0.359049,-0.819369,-1.103450,0.454518,-0.304592,2500.600098
2017-09-22,always train (rows 1-551),-0.452764,-0.420389,-0.977910,0.269536,-0.989990,-0.333125,-0.709764,0.037531,-0.273232,-0.210481,0.064779,2502.219971
2017-09-25,always train (rows 1-551),-0.952024,-0.814193,-0.882206,-1.545486,-1.602980,-4.497476,0.362919,1.326385,-0.167455,-0.748699,-0.222205,2496.659912
2017-09-26,always train (rows 1-551),0.337170,0.422384,1.720374,0.000000,-0.126619,0.822754,-0.361606,-0.111191,-0.175349,-0.446235,0.007217,2496.840088
2017-09-27,always train (rows 1-551),2.396974,2.122473,0.711750,0.805315,1.307263,2.113164,0.775324,0.667578,-0.908814,1.579503,0.408514,2507.040039
2017-09-28,always train (rows 1-551),0.511522,0.530454,-0.615955,0.027072,0.581574,0.626176,-0.032737,0.933357,-0.215803,0.210129,0.120462,2510.060059
2017-09-29,always train (rows 1-551),0.923487,1.012093,0.548005,0.839303,0.517569,1.268315,0.060041,-0.255526,0.417099,0.136309,0.370511,2519.360107
2017-10-02,always train (rows 1-551),-0.641870,-0.608875,-0.201154,0.161129,-0.224688,-0.819348,1.140081,-0.426966,0.930692,1.392482,0.387400,2529.120117
2017-10-03,always train (rows 1-551),0.476488,0.474152,0.435591,-0.469071,-0.217892,0.289136,0.140227,0.159287,0.670628,0.526682,0.215884,2534.580078
2017-10-04,always train (rows 1-551),-0.545212,-0.637906,-0.647312,0.579030,0.872426,-0.906097,0.086176,0.036673,0.598029,-1.016948,0.124672,2537.739990
2017-10-05,always train (rows 1-551),1.904259,1.920801,1.244456,1.713758,1.595112,1.674379,0.694179,0.281223,0.225763,1.346561,0.564679,2552.070068
2017-10-06,always train (rows 1-551),0.857704,0.920640,-0.057881,0.039492,0.890045,0.578137,0.165668,-0.377967,0.022530,-0.175119,-0.107363,2549.330078
2017-10-09,always train (rows 1-551),-0.133834,-0.193082,0.347690,0.381528,0.142484,0.156770,0.037351,0.391633,0.172629,-0.526210,-0.180443,2544.729980
2017-10-10,always train (rows 1-551),-0.454501,-0.450338,0.038476,0.000000,-0.382444,-0.527549,0.266667,0.280393,0.337201,0.746784,0.232241,2550.639893
2017-10-11,always train (rows 1-551),1.807029,1.711904,0.416977,0.170458,0.790112,0.670226,-0.287230,0.413328,2.053787,-0.298544,0.180351,2555.239990
2017-10-12,always train (rows 1-551),0.000000,-0.143554,0.915989,-0.351353,0.595982,-0.110006,-0.618801,-0.205817,0.131721,-0.877737,-0.168675,2550.929932
2017-10-13,always train (rows 1-551),0.220763,0.187289,0.479751,0.634626,0.200810,0.689656,0.574338,-0.024291,-0.292323,-0.135428,0.087811,2553.169922
2017-10-16,always train (rows 1-551),0.146846,0.234408,1.840877,0.206471,0.339007,0.448946,0.314891,0.485392,-0.227239,2.065502,0.175075,2557.639893
2017-10-17,always train (rows 1-551),0.163464,0.018159,0.369001,-0.077254,0.277242,0.911069,-0.303260,0.181163,3.430812,-0.224855,0.067258,2559.360107
2017-10-18,always train (rows 1-551),0.172110,0.063488,-0.442448,0.025746,-1.202031,-0.045442,0.245481,-0.241100,-0.078162,0.379039,0.074234,2561.260010
2017-10-19,always train (rows 1-551),-1.076290,-0.842054,0.386564,-2.366021,-1.042120,-0.835056,-0.340697,0.966762,-0.024160,0.122482,0.032800,2562.100098
2017-10-20,always train (rows 1-551),0.322405,0.380917,1.155174,0.173093,-0.375024,0.240592,0.977505,0.253437,0.447176,1.426940,0.511684,2575.209961
2017-10-23,always train (rows 1-551),-1.943151,-1.998581,0.025358,-0.051247,-1.689883,-2.120251,0.185149,0.856734,0.156430,-0.170812,-0.397248,2564.979980
2017-10-24,always train (rows 1-551),0.299338,0.215817,0.038102,0.595572,0.993479,0.309465,0.205924,0.276290,-1.378629,1.590478,0.161791,2569.129883
2017-10-25,always train (rows 1-551),0.300463,0.287469,-0.291698,-0.439219,-0.306380,-0.698481,-0.563807,0.508327,-0.359400,0.099076,-0.466305,2557.149902
2017-10-26,always train (rows 1-551),-0.004055,-0.079111,0.165354,0.639324,-0.049341,0.017576,-0.052995,0.360697,-0.386327,0.712753,0.127095,2560.399902
